descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-49%,-49%,,Papa en Cubo Inalpa 300 Gr.,,,$ 95549%,$ 490,Agregar,"Precio por 1 Kg $ 3.183,33",https://ardiaprod.vtexassets.com/arquivos/ids/328979-500-auto?v=638599629926130000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Sabor A Jamón Serrano Lays X 77 Gr.,,,$ 3.20035%,$ 2.080,Agregar,"Precio por 1 Kg $ 41.558,44",https://ardiaprod.vtexassets.com/arquivos/ids/315365-500-auto?v=638599440962500000&width=500&height=auto&aspect=true,2025-08-30
-44%,-44%,,Caramelo Masticable Bananitas Mogul 30 Gr.,,,$ 98044%,$ 550,Agregar,"Precio por 10 Gr $ 326,67",https://ardiaprod.vtexassets.com/arquivos/ids/350615-500-auto?v=638827340270970000&width=500&height=auto&aspect=true,2025-08-30
,,,Atún Desmenuzado en Aceite Dia 170 Gr.,,,Llevás 2 a $790 c/u,$ 1.220,Agregar,"Precio por 1 Kg $ 7.176,47",https://ardiaprod.vtexassets.com/arquivos/ids/356101-500-auto?v=638907617693670000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Caldos Knorr Sabor Carne 114 Gr 12 Un.,,,$ 2.31020%,$ 1.850,Agregar,"Precio por 1 Kg $ 20.263,16",https://ardiaprod.vtexassets.com/arquivos/ids/308208-500-auto?v=638599340399000000&width=500&height=auto&aspect=true,2025-08-30
-33%,-33%,,Alfajor Fulbito Maní 30 Gr.,,,$ 30033%,$ 200,Agregar,Precio por 10 Gr $ 100,https://ardiaprod.vtexassets.com/arquivos/ids/326520-500-auto?v=638599596121970000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Pan De Ajo Picante Noly 300 Gr.,,,$ 4.90020%,$ 3.900,Agregar,Precio por 1 Kg $ 13.000,https://ardiaprod.vtexassets.com/arquivos/ids/352981-500-auto?v=638869610510730000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Rapiditas XXL 8 Ud.,,,$ 6.98035%,$ 4.540,Agregar,"Precio por 1 Kg $ 7.322,58",https://ardiaprod.vtexassets.com/arquivos/ids/354806-500-auto?v=638887749619730000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Cadbury Relleno Yoghurt Frutilla 29 Gr.,,,2 x $2900,$ 2.260,Agregar,"Precio por 10 Gr $ 779,31",https://ardiaprod.vtexassets.com/arquivos/ids/307819-500-auto?v=638599334983830000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Pan Blanco Bimbo 610 Gr.,,,$ 6.43535%,$ 4.185,Agregar,"Precio por 1 Kg $ 6.860,66",https://ardiaprod.vtexassets.com/arquivos/ids/354762-500-auto?v=638887749080000000&width=500&height=auto&aspect=true,2025-08-30
