categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chocolates,-40%,DOLCA,Bananita Dolca 14 Gr.,40%,"$366,00","$610,00",43571.43KG,https://diaonline.supermercadosdia.com.ar/bananita-dolca-14-gr-300588/p,https://ardiaprod.vtexassets.com/arquivos/ids/299204-500-auto?v=638504127279700000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,MILKA,Chocolate con Castañas Milka 55 Gr.,40%,"$1.134,00","$1.890,00",25454.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-castanas-milka-55-gr-283399/p,https://ardiaprod.vtexassets.com/arquivos/ids/294467-500-auto?v=638458630523700000&width=500&height=auto&aspect=true
almacen,chocolates,-50%,KIT KAT,Oblea Kitkat 4 Fingers X 41.5 Gr.,50%,"$845,00","$1.690,00",40722.89KG,https://diaonline.supermercadosdia.com.ar/oblea-kitkat-4-fingers-x-415-gr-148828/p,https://ardiaprod.vtexassets.com/arquivos/ids/294030-500-auto?v=638458625068970000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,NESTLE,Nestlé Classic Chocolate Con Leche X 80 Gr.,35%,"$1.930,50","$2.970,00",24875.00KG,https://diaonline.supermercadosdia.com.ar/nestle-classic-chocolate-con-leche-x-80-gr-289455/p,https://ardiaprod.vtexassets.com/arquivos/ids/294518-500-auto?v=638458631191970000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,CADBURY,Chocolate Cadbury Frutilla Relleno Yoghurt 82 Gr.,35%,"$1.686,75","$2.595,00",31646.34KG,https://diaonline.supermercadosdia.com.ar/chocolate-cadbury-frutilla-relleno-yoghurt-82-gr-274637/p,https://ardiaprod.vtexassets.com/arquivos/ids/294389-500-auto?v=638458629566770000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,NESTLE,Chocolate con Maní Nestle x 33 Gr.,40%,"$648,00","$1.080,00",32727.27KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-nestle-x-33-gr-274873/p,https://ardiaprod.vtexassets.com/arquivos/ids/301077-500-auto?v=638522266917100000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,SHOT,Chocolate Con Maní Shot 90 Gr.,35%,"$1.550,25","$2.385,00",21111.11KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-shot-90-gr-168862/p,https://ardiaprod.vtexassets.com/arquivos/ids/294058-500-auto?v=638458625417070000&width=500&height=auto&aspect=true
almacen,chocolates,-35%,SHOT,Chocolate Con Maní Shot 35 Gr.,35%,"$643,50","$990,00",28285.71KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-mani-shot-35-gr-110388/p,https://ardiaprod.vtexassets.com/arquivos/ids/293976-500-auto?v=638458624426900000&width=500&height=auto&aspect=true
almacen,chocolates,-2%,SMACK,Bombo Mousse Chocolate Smack 16 Gr,2x12%,"$196,00","$200,00",12250.00KG,https://diaonline.supermercadosdia.com.ar/bombo-mousse-chocolate-smack-16-gr-293747/p,https://ardiaprod.vtexassets.com/arquivos/ids/280781-500-auto?v=638322645966430000&width=500&height=auto&aspect=true
almacen,chocolates,-40%,MILKA,Chocolate con Almendras Milka 55 Gr.,40%,"$1.134,00","$1.890,00",25454.55KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-almendras-milka-55-gr-249905/p,https://ardiaprod.vtexassets.com/arquivos/ids/294164-500-auto?v=638458626768770000&width=500&height=auto&aspect=true
